filename/folder, licenses type, arthor/organisation, link

"Exo2-Thin-Webfont", OFL License, Natanael Gama, https://www.fontsquirrel.com/license/exo-2

"slope.svg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:linear-equations-graphs 
"triangle.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/trigonometry/trig-with-general-triangles/law-of-sines/e/law_of_sines?modal=1 
"triangle2.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/trigonometry/
"period.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/trigonometry/
"midline.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/trigonometry/
"amplitude.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/trigonometry/
"complex-number.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:polynomials
"concavity.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:complex,
"continuity.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/ap-calculus-ab/ab-limits-new
"differentiability.jpg", CC-BY-NC-SA License, Khan Academy, https://www.khanacademy.org/math/ap-calculus-ab/ab-differentiation-1-new
"limits.jpg", Khan Academy, CC-BY-NC-SA License, https://www.khanacademy.org/math/ap-calculus-ab/ab-limits-new

"transition.mp3", Standard License, ZAPSPLAT, https://www.zapsplat.com/music/dark-magic-spell-powerful-electric-energy-whoosh-pass-by-19/ 
"flashmath.mp3", Standard License, ZAPSPLAT, https://www.zapsplat.com/music/i-saw-a-ghost-last-night-electronic-edm-trap-style-instrumental-with-a-dark-feel-pumping-drums-sampled-pitched-vocal-and-synth-elements-throughout/

"ambient-memories.mp3", FREE CC License, Benjamin Tissot (Bensound), https://www.bensound.com/royalty-free-music/track/memories
"ambient-slowmotion.mp3", FREE CC License, Benjamin Tissot (Bensound), https://www.bensound.com/royalty-free-music/track/slow-motion

"fontawesome-free-5.10.2-web",  MIT License, Font Awesome Team, https://fontawesome.com/ & https://fontawesome.com/license/free & CC BY 4.0 & Fonts: SIL OFL 1.1 & Code: MIT License
"Font Awesome Free Icons", CC BY 4.0 License, Font Awesome Team, https://fontawesome.com/license/free & CC BY 4.0 License (https://creativecommons.org/licenses/by/4.0/)

"victory.mp3", Public Domain, Myinstants, https://www.myinstants.com/instant/dogsong-undertale-23372/ 
"gameover.mp3", Public Domain, Myinstants, https://www.myinstants.com/instant/undertale-game-over/ 
